date,time_index,split
2020-05-26,96,train
2020-05-27,97,train
2020-05-28,98,train
2020-05-29,99,train
2020-05-30,100,train
2020-05-31,101,train
2020-06-01,102,train
2020-06-02,103,train
2020-06-03,104,train
2020-06-04,105,train
2020-06-05,106,train
2020-06-06,107,train
2020-06-07,108,train
2020-06-08,109,train
2020-06-09,110,train
2020-06-10,111,train
2020-06-11,112,train
2020-06-12,113,train
2020-06-13,114,train
2020-06-14,115,train
2020-06-15,116,train
2020-06-16,117,train
2020-06-17,118,train
2020-06-18,119,train
2020-06-19,120,train
2020-06-20,121,train
2020-06-21,122,train
2020-06-22,123,train
2020-06-23,124,train
2020-06-24,125,train
2020-06-25,126,train
2020-06-26,127,train
2020-06-27,128,train
2020-06-28,129,train
2020-06-29,130,train
2020-06-30,131,train
2020-07-01,132,train
2020-07-02,133,train
2020-07-03,134,train
2020-07-04,135,train
2020-07-05,136,train
2020-07-06,137,train
2020-07-07,138,train
2020-07-08,139,train
2020-07-09,140,train
2020-07-10,141,train
2020-07-11,142,train
2020-07-12,143,train
2020-07-13,144,train
2020-07-14,145,train
2020-07-15,146,train
2020-07-16,147,train
2020-07-17,148,train
2020-07-18,149,train
2020-07-19,150,train
2020-07-20,151,train
2020-07-21,152,train
2020-07-22,153,train
2020-07-23,154,train
2020-07-24,155,train
2020-07-25,156,train
2020-07-26,157,train
2020-07-27,158,train
2020-07-28,159,train
2020-07-29,160,train
2020-07-30,161,train
2020-07-31,162,train
2020-08-01,163,train
2020-08-02,164,train
2020-08-03,165,train
2020-08-04,166,train
2020-08-05,167,train
2020-08-06,168,train
2020-08-07,169,train
2020-08-08,170,train
2020-08-09,171,train
2020-08-10,172,train
2020-08-11,173,train
2020-08-12,174,train
2020-08-13,175,train
2020-08-14,176,train
2020-08-15,177,train
2020-08-16,178,train
2020-08-17,179,train
2020-08-18,180,train
2020-08-19,181,train
2020-08-20,182,train
2020-08-21,183,train
2020-08-22,184,train
2020-08-23,185,train
2020-08-24,186,train
2020-08-25,187,train
2020-08-26,188,train
2020-08-27,189,train
2020-08-28,190,train
2020-08-29,191,train
2020-08-30,192,train
2020-08-31,193,train
2020-09-01,194,train
2020-09-02,195,train
2020-09-03,196,train
2020-09-04,197,train
2020-09-05,198,train
2020-09-06,199,train
2020-09-07,200,train
2020-09-08,201,train
2020-09-09,202,train
2020-09-10,203,train
2020-09-11,204,train
2020-09-12,205,train
2020-09-13,206,train
2020-09-14,207,train
2020-09-15,208,train
2020-09-16,209,train
2020-09-17,210,train
2020-09-18,211,train
2020-09-19,212,train
2020-09-20,213,train
2020-09-21,214,train
2020-09-22,215,train
2020-09-23,216,train
2020-09-24,217,train
2020-09-25,218,train
2020-09-26,219,validation
2020-09-27,220,validation
2020-09-28,221,validation
2020-09-29,222,validation
2020-09-30,223,validation
2020-10-01,224,validation
2020-10-02,225,validation
2020-10-03,226,validation
2020-10-04,227,validation
2020-10-05,228,validation
2020-10-06,229,validation
2020-10-07,230,validation
2020-10-08,231,validation
2020-10-09,232,validation
2020-10-10,233,validation
2020-10-11,234,validation
2020-10-12,235,validation
2020-10-13,236,validation
2020-10-14,237,validation
2020-10-15,238,validation
2020-10-16,239,validation
2020-10-17,240,validation
2020-10-18,241,validation
2020-10-19,242,validation
2020-10-20,243,validation
2020-10-21,244,validation
2020-10-22,245,validation
2020-10-23,246,validation
2020-10-24,247,validation
2020-10-25,248,validation
2020-10-26,249,validation
2020-10-27,250,validation
2020-10-28,251,validation
2020-10-29,252,validation
2020-10-30,253,validation
2020-10-31,254,validation
2020-11-01,255,validation
2020-11-02,256,validation
2020-11-03,257,validation
2020-11-04,258,validation
2020-11-05,259,validation
2020-11-06,260,validation
2020-11-07,261,validation
2020-11-08,262,validation
2020-11-09,263,validation
2020-11-10,264,validation
2020-11-11,265,validation
2020-11-12,266,validation
2020-11-13,267,validation
2020-11-14,268,validation
2020-11-15,269,validation
2020-11-16,270,validation
2020-11-17,271,validation
2020-11-18,272,validation
2020-11-19,273,validation
2020-11-20,274,validation
2020-11-21,275,validation
2020-11-22,276,validation
2020-11-23,277,validation
2020-11-24,278,validation
2020-11-25,279,validation
2020-11-26,280,validation
2020-11-27,281,validation
2020-11-28,282,validation
2020-11-29,283,validation
2020-11-30,284,validation
2020-12-01,285,validation
2020-12-02,286,validation
2020-12-03,287,validation
2020-12-04,288,validation
2020-12-05,289,validation
2020-12-06,290,validation
2020-12-07,291,validation
2020-12-08,292,test
2020-12-09,293,test
2020-12-10,294,test
2020-12-11,295,test
2020-12-12,296,test
2020-12-13,297,test
2020-12-14,298,test
2020-12-15,299,test
2020-12-16,300,test
2020-12-17,301,test
2020-12-18,302,test
2020-12-19,303,test
2020-12-20,304,test
2020-12-21,305,test
2020-12-22,306,test
2020-12-23,307,test
2020-12-24,308,test
2020-12-25,309,test
2020-12-26,310,test
2020-12-27,311,test
2020-12-28,312,test
2020-12-29,313,test
2020-12-30,314,test
2020-12-31,315,test
2021-01-01,316,test
2021-01-02,317,test
2021-01-03,318,test
2021-01-04,319,test
2021-01-05,320,test
2021-01-06,321,test
2021-01-07,322,test
2021-01-08,323,test
2021-01-09,324,test
2021-01-10,325,test
2021-01-11,326,test
2021-01-12,327,test
2021-01-13,328,test
2021-01-14,329,test
2021-01-15,330,test
2021-01-16,331,test
2021-01-17,332,test
2021-01-18,333,test
2021-01-19,334,test
2021-01-20,335,test
2021-01-21,336,test
2021-01-22,337,test
2021-01-23,338,test
2021-01-24,339,test
2021-01-25,340,test
2021-01-26,341,test
2021-01-27,342,test
2021-01-28,343,test
2021-01-29,344,test
2021-01-30,345,test
2021-01-31,346,test
2021-02-01,347,test
2021-02-02,348,test
2021-02-03,349,test
2021-02-04,350,test
2021-02-05,351,test
2021-02-06,352,test
2021-02-07,353,test
2021-02-08,354,test
2021-02-09,355,test
2021-02-10,356,test
2021-02-11,357,test
2021-02-12,358,test
2021-02-13,359,test
2021-02-14,360,test
2021-02-15,361,test
2021-02-16,362,test
2021-02-17,363,test
2021-02-18,364,test
